relative_path,file_size,modified_timestamp,duplicate_hash,planned_action,reason
up-coverage-metrics-finalization-pack-v2.zip,14925,2026-06-26T16:49:44.134374,a1af069c62c51744,archive,pre-rebuild inventory
up-coverage-metrics-kit.zip,9372,2026-06-26T16:24:22.942782,9b2a1f4531b8debf,archive,pre-rebuild inventory
03-tools/rebuild_project.py,56961,2026-06-29T10:30:50.740273,dc03980031f9a482,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/output/00-source-inventory.md,7725,2026-06-26T16:35:52.229201,8bb63d8e0d661154,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/output/01-domain-mapping.md,7946,2026-06-26T16:36:21.396646,05261158fc59776a,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/output/02-coverage-matrix.md,5449,2026-06-26T16:36:46.283696,65c1772bb6e16b01,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/output/03-gap-analysis.md,5852,2026-06-26T16:37:11.235798,b0d318e2309e1a14,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/output/04-kevin-response-draft.md,4887,2026-06-26T16:37:28.866588,789de12f99170059,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/output/05-review-notes-for-nick.md,2086,2026-06-26T16:37:36.568966,353eac4eb498f2f5,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/output/06-cursor-self-audit.md,4805,2026-06-26T16:37:54.754115,9bd96f2437b2d765,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/README.md,360,2026-06-26T16:25:21.987161,cee4a644d9850cbb,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/AHA PDF/ACS-I-2679 Universal Platform Test Automation – Enrollment Domain.pdf,522977,2026-06-26T15:42:32.855465,a3b7dba5c31c4ed1,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/AHA PDF/ACS-I-2680 Universal Platform Test Automation – IDP Domain.pdf,521621,2026-06-26T15:43:12.887253,31e3c17213eba408,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/AHA PDF/ACS-I-2681 Universal Platform Test Automation – ABLE Domain.pdf,526829,2026-06-26T15:43:28.876588,d454f3d82e5d50f5,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/AHA PDF/ACS-I-2682 Universal Platform Test Automation – Angular Domain.pdf,510573,2026-06-26T15:44:06.567720,423aa57a76b33798,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/AHA PDF/ACS-I-2690 Universal Platform Test Automation - Withdrawal Domain.pdf,514928,2026-06-26T15:44:21.556047,ae5ac04edbba82a0,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/docs/01-solution-plan.md,1153,2026-06-26T16:25:22.290362,5b8cff6c1ed0326a,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/QAAuto_UniteRegression_Daily_Report.PDF,2310506,2026-06-29T08:37:38.896471,4bbc40895221f405,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V2 Jenkins Job extract full output.txt,641834,2026-06-29T08:53:01.540453,9d6adcfc6929fb67,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 job latest log.txt,4151214,2026-06-26T17:02:57.528178,906e5daa120ee4ca,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files.html,3391854,2026-06-29T08:39:36.182054,3e7f21e2b8786f7e,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports.html,1110044,2026-06-29T08:40:50.761155,5069b1539c4a924e,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/collapseall.gif,157,2026-06-29T08:39:30.282554,beb0bcad17d652fa,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/failed.png,977,2026-06-29T08:39:31.153919,af41cabfe9d730d4,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/format.css,1293,2026-06-29T08:39:25.312068,e96f82f5743dccc9,retain_in_new_structure,pre-rebuild inventory
